key,keydown_time,keyup_time
t,2021-04-11 13:52:58.749968+00:00,2021-04-11 13:52:58.857307+00:00
e,2021-04-11 13:52:58.886896+00:00,2021-04-11 13:52:58.995064+00:00
c,2021-04-11 13:52:59.051319+00:00,2021-04-11 13:52:59.180912+00:00
t,2021-04-11 13:52:59.302587+00:00,2021-04-11 13:52:59.386919+00:00
space,2021-04-11 13:52:59.584403+00:00,2021-04-11 13:52:59.689841+00:00
shift,2021-04-11 13:53:02.194292+00:00,2021-04-11 13:53:02.411287+00:00
t,2021-04-11 13:53:02.468391+00:00,2021-04-11 13:53:02.535233+00:00
r,2021-04-11 13:53:02.593040+00:00,2021-04-11 13:53:02.722104+00:00
e,2021-04-11 13:53:02.723343+00:00,2021-04-11 13:53:02.811593+00:00
s,2021-04-11 13:53:02.920044+00:00,2021-04-11 13:53:03.024267+00:00
s,2021-04-11 13:53:03.085009+00:00,2021-04-11 13:53:03.168056+00:00
space,2021-04-11 13:53:03.222445+00:00,2021-04-11 13:53:03.333026+00:00
a,2021-04-11 13:53:03.309467+00:00,2021-04-11 13:53:03.420351+00:00
d,2021-04-11 13:53:03.538178+00:00,2021-04-11 13:53:03.665720+00:00
backspace,2021-04-11 13:53:04.183802+00:00,2021-04-11 13:53:04.291861+00:00
n,2021-04-11 13:53:04.506607+00:00,2021-04-11 13:53:04.614103+00:00
d,2021-04-11 13:53:04.657617+00:00,2021-04-11 13:53:04.768337+00:00
space,2021-04-11 13:53:04.797673+00:00,2021-04-11 13:53:04.881812+00:00
shift,2021-04-11 13:53:04.991751+00:00,2021-04-11 13:53:05.205699+00:00
a,2021-04-11 13:53:05.318866+00:00,2021-04-11 13:53:05.425661+00:00
t,2021-04-11 13:53:05.567976+00:00,2021-04-11 13:53:05.672020+00:00
u,2021-04-11 13:53:05.749526+00:00,2021-04-11 13:53:05.811581+00:00
backspace,2021-04-11 13:53:06.167350+00:00,2021-04-11 13:53:06.291290+00:00
i,2021-04-11 13:53:06.510232+00:00,2021-04-11 13:53:06.616999+00:00
g,2021-04-11 13:53:06.755547+00:00,2021-04-11 13:53:06.820525+00:00
u,2021-04-11 13:53:06.989992+00:00,2021-04-11 13:53:07.077437+00:00
e,2021-04-11 13:53:07.176952+00:00,2021-04-11 13:53:07.303337+00:00
right,2021-04-11 13:53:08.917723+00:00,2021-04-11 13:53:09.027156+00:00
(,2021-04-11 13:53:09.561731+00:00,2021-04-11 13:53:09.647674+00:00
shift,2021-04-11 13:53:09.083345+00:00,2021-04-11 13:53:09.689314+00:00
right,2021-04-11 13:53:10.484928+00:00,2021-04-11 13:53:11.049083+00:00
left,2021-04-11 13:53:11.234125+00:00,2021-04-11 13:53:11.324256+00:00
left,2021-04-11 13:53:11.397618+00:00,2021-04-11 13:53:11.482107+00:00
left,2021-04-11 13:53:11.552988+00:00,2021-04-11 13:53:11.617937+00:00
left,2021-04-11 13:53:11.728591+00:00,2021-04-11 13:53:11.771810+00:00
space,2021-04-11 13:53:11.880674+00:00,2021-04-11 13:53:11.923919+00:00
right,2021-04-11 13:53:12.167228+00:00,2021-04-11 13:53:12.293049+00:00
right,2021-04-11 13:53:12.315633+00:00,2021-04-11 13:53:13.480326+00:00
space,2021-04-11 13:53:13.891036+00:00,2021-04-11 13:53:14.020537+00:00
shift,2021-04-11 13:53:14.178167+00:00,2021-04-11 13:53:14.398208+00:00
backspace,2021-04-11 13:53:19.069294+00:00,2021-04-11 13:53:19.178945+00:00
D,2021-04-11 13:52:17.867528+00:00,2021-04-11 13:53:19.417249+00:00
shift,2021-04-11 13:53:19.156979+00:00,2021-04-11 13:53:19.418864+00:00
shift,2021-04-11 13:53:42.659000+00:00,2021-04-11 13:53:42.893777+00:00
i,2021-04-11 13:53:43.022195+00:00,2021-04-11 13:53:43.108432+00:00
n,2021-04-11 13:53:43.186216+00:00,2021-04-11 13:53:43.271980+00:00
u,2021-04-11 13:53:43.377314+00:00,2021-04-11 13:53:43.462242+00:00
x,2021-04-11 13:53:43.501412+00:00,2021-04-11 13:53:43.609746+00:00
enter,2021-04-11 13:53:44.114076+00:00,2021-04-11 13:53:44.199432+00:00
shift,2021-04-11 13:53:52.270757+00:00,2021-04-11 13:53:52.483403+00:00
i,2021-04-11 13:53:52.484114+00:00,2021-04-11 13:53:52.572172+00:00
n,2021-04-11 13:53:52.663061+00:00,2021-04-11 13:53:52.773478+00:00
d,2021-04-11 13:53:52.774359+00:00,2021-04-11 13:53:52.901233+00:00
o,2021-04-11 13:53:52.902123+00:00,2021-04-11 13:53:53.010155+00:00
w,2021-04-11 13:53:53.042304+00:00,2021-04-11 13:53:53.153328+00:00
s,2021-04-11 13:53:53.265598+00:00,2021-04-11 13:53:53.355572+00:00
alt,2021-04-11 13:54:03.384858+00:00,2021-04-11 13:54:03.537556+00:00
tab,2021-04-11 13:54:03.451247+00:00,2021-04-11 13:54:03.603457+00:00
alt,2021-04-11 13:55:44.176434+00:00,2021-04-11 13:55:44.375485+00:00
tab,2021-04-11 13:55:44.261197+00:00,2021-04-11 13:55:44.417775+00:00
tab,2021-04-11 13:55:45.009808+00:00,2021-04-11 13:55:45.157517+00:00
tab,2021-04-11 13:55:45.286057+00:00,2021-04-11 13:55:45.436643+00:00
alt,2021-04-11 13:55:44.968132+00:00,2021-04-11 13:55:46.014462+00:00
tab,2021-04-11 13:55:50.173343+00:00,2021-04-11 13:55:50.303184+00:00
tab,2021-04-11 13:55:51.108158+00:00,2021-04-11 13:55:51.261380+00:00
tab,2021-04-11 13:55:51.373042+00:00,2021-04-11 13:55:51.498900+00:00
tab,2021-04-11 13:55:51.606115+00:00,2021-04-11 13:55:51.713717+00:00
tab,2021-04-11 13:55:51.844849+00:00,2021-04-11 13:55:51.994412+00:00
tab,2021-04-11 13:55:52.080464+00:00,2021-04-11 13:55:52.348497+00:00
tab,2021-04-11 13:55:52.348940+00:00,2021-04-11 13:55:52.468976+00:00
alt,2021-04-11 13:55:50.108806+00:00,2021-04-11 13:55:52.535026+00:00
tab,2021-04-11 13:56:09.320341+00:00,2021-04-11 13:56:09.448687+00:00
tab,2021-04-11 13:56:10.090306+00:00,2021-04-11 13:56:10.264638+00:00
tab,2021-04-11 13:56:10.521597+00:00,2021-04-11 13:56:10.647901+00:00
tab,2021-04-11 13:56:10.735561+00:00,2021-04-11 13:56:10.884402+00:00
tab,2021-04-11 13:56:10.944019+00:00,2021-04-11 13:56:11.052463+00:00
tab,2021-04-11 13:56:11.160286+00:00,2021-04-11 13:56:11.292852+00:00
tab,2021-04-11 13:56:11.381764+00:00,2021-04-11 13:56:11.489536+00:00
tab,2021-04-11 13:56:11.640142+00:00,2021-04-11 13:56:11.728158+00:00
tab,2021-04-11 13:56:11.816988+00:00,2021-04-11 13:56:11.944214+00:00
alt,2021-04-11 13:56:09.250238+00:00,2021-04-11 13:56:11.986697+00:00
